Subj,Cat,Sect,"Class
Nbr",Title,Day,Start,End,Bldg/Room,Type,Instructor,Units,Notes,Available
TVF,1200,01,90349,INTRODUCTION TO AUDIO,W,3:00 PM,5:45 PM,MUS 208,LEC,"McKeever,Jane Alice",3.00,,Closed
TVF,1200,02,90352,INTRODUCTION TO AUDIO,W,8:00 PM,9:40 PM,TVFM 207,ACT,"McKeever,Jane Alice",,,Closed
TVF,1200,03,90354,INTRODUCTION TO AUDIO,R,4:00 PM,5:40 PM,TVFM 207,ACT,,,,Closed
TVF,1200,04,90607,INTRODUCTION TO AUDIO,R,6:00 PM,7:40 PM,TVFM 207,ACT,,,,Open
TVF,1200,05,90608,INTRODUCTION TO AUDIO,R,8:00 PM,9:40 PM,TVFM 207,ACT,,,,Closed
TVF,2000,01,90359,INTRO TO DIGITAL MEDIA,M,6:00 PM,7:40 PM,KH C4075,LEC,,3.00,,Closed
TVF,2000,02,90365,INTRO TO DIGITAL MEDIA,M,8:00 PM,9:40 PM,MUS 255,ACT,,,,Closed
TVF,2000,03,90366,INTRO TO DIGITAL MEDIA,W,4:00 PM,5:40 PM,MUS 255,ACT,,,,Closed
TVF,2000,04,90558,INTRO TO DIGITAL MEDIA,W,6:00 PM,7:40 PM,MUS 255,ACT,,,,Closed
TVF,2000,05,90559,INTRO TO DIGITAL MEDIA,W,8:00 PM,9:40 PM,MUS 255,ACT,,,,Closed
TVF,2000,06,97374,INTRO TO DIGITAL MEDIA,M,8:00 PM,9:40 PM,KH B3007,ACT,,,,Open
TVF,2010,01,90370,INTRO TO STUDIO PRODUCTION,M,12:00 PM,1:40 PM,MUS 219,LEC,,3.00,,Closed
TVF,2010,02,90373,INTRO TO STUDIO PRODUCTION,M,2:00 PM,3:40 PM,MUS 200,ACT,,,,Closed
TVF,2010,03,90385,INTRO TO STUDIO PRODUCTION,M,4:00 PM,5:40 PM,MUS 200,ACT,,,,Closed
TVF,2010,04,90387,INTRO TO STUDIO PRODUCTION,W,2:00 PM,3:40 PM,MUS 200,ACT,,,,Open
TVF,2260,01,90844,JOURNEY THRU WORLD CINEMA,TR,12:15 PM,1:30 PM,KH B3019,LEC,"Danelski,Christine Mary",3.00,Combine with ENGL 2260 01,Closed
TVF,2500,01,90391,MEDIA CULTR IDENT,M,3:00 PM,5:45 PM,MUS 208,LEC,"Meyer,Sylke Rene",3.00,,Open
TVF,2650,01,90392,INTRO SCRIPT,M,9:00 AM,10:40 AM,MUS 208,LEC,"Berumen,Enrique",3.00,,Open
TVF,2650,04,90402,INTRO SCRIPT,W,9:00 AM,10:40 AM,KH B4007,ACT,,,,Closed
TVF,2650,05,97316,INTRO SCRIPT,W,11:00 AM,12:40 PM,KH B4007,ACT,,,,Open
TVF,2666,01,90555,SCIENCE FICTION FILM & TV,TR,9:25 AM,10:40 AM,KH B2018,LEC,"Attebery,Stina Evans",3.00,Combine with LBS 2666 01,Open
TVF,2666,02,90595,SCIENCE FICTION FILM & TV,TR,12:15 PM,1:30 PM,KH B2015,LEC,"Farner,Dirk M.",3.00,Combine with LBS 2666 02,Closed
TVF,2666,03,90843,SCIENCE FICTION FILM & TV,F,12:00 PM,2:45 PM,KH B1018,LEC,"Pearson,Joshua Danley",3.00,Combine with LBS 2666 03,Closed
TVF,3000,01,90404,WRITING AND MEDIA ETHICS,T,9:00 AM,10:40 AM,MUS 256,LEC,,3.00,,Open
TVF,3000,02,90405,WRITING AND MEDIA ETHICS,T,11:00 AM,12:40 PM,KH D1043,ACT,,,,Open
TVF,3000,03,90410,WRITING AND MEDIA ETHICS,T,1:00 PM,2:40 PM,KH D1043,ACT,,,,Open
TVF,3000,04,90564,WRITING AND MEDIA ETHICS,W,9:00 AM,10:40 AM,MUS 256,LEC,,3.00,,Open
TVF,3000,05,90565,WRITING AND MEDIA ETHICS,W,11:00 AM,12:40 PM,KH D1043,ACT,,,,Closed
TVF,3000,06,90566,WRITING AND MEDIA ETHICS,W,1:00 PM,2:40 PM,KH D1043,ACT,,,,Open
TVF,3000,07,94308,WRITING AND MEDIA ETHICS,M,6:00 PM,7:40 PM,MUS 256,LEC,,3.00,,Open
TVF,3000,08,94309,WRITING AND MEDIA ETHICS,M,8:00 PM,9:40 PM,KH B4009,ACT,,,,Open
TVF,3000,09,96927,WRITING AND MEDIA ETHICS,M,4:00 PM,5:40 PM,KH B3007,ACT,,,,Open
TVF,3010,01,90415,INTERMEDIATE STUDIO PROD,F,10:00 AM,11:40 AM,MUS 256,LEC,,3.00,,Open
TVF,3010,02,90416,INTERMEDIATE STUDIO PROD,F,12:00 PM,1:40 PM,MUS 200,ACT,,,,Closed
TVF,3010,03,90419,INTERMEDIATE STUDIO PROD,F,2:00 PM,3:40 PM,MUS 200,ACT,,,,Open
TVF,3020,01,90420,INTERMEDIATE PRODUCTION,M,9:00 AM,10:40 AM,MUS 219,LEC,,3.00,,Open
TVF,3020,02,90560,INTERMEDIATE PRODUCTION,M,11:00 AM,12:40 PM,MUS 255,ACT,,,,Closed
TVF,3020,03,90561,INTERMEDIATE PRODUCTION,M,1:00 PM,2:40 PM,MUS 255,ACT,,,,Open
TVF,3020,04,90609,INTERMEDIATE PRODUCTION,F,11:00 AM,12:40 PM,MUS 208,LEC,,3.00,,Open
TVF,3020,05,96142,INTERMEDIATE PRODUCTION,F,1:00 PM,2:40 PM,MUS 255,ACT,,,,Open
TVF,3030,01,90424,DIGITAL POST PRODUCTION,M,6:00 PM,7:40 PM,TVFM 207,LEC,"Fipps,Heather Ann",3.00,,Closed
TVF,3030,02,90562,DIGITAL POST PRODUCTION,M,8:00 PM,9:40 PM,TVFM 207,ACT,"Fipps,Heather Ann",,,Closed
TVF,3031,01,90847,DIGITAL SOUND POST,W,10:00 AM,11:40 AM,TVFM 207,LEC,"McKeever,Jane Alice",3.00,,Closed
TVF,3031,02,90853,DIGITAL SOUND POST,W,12:00 PM,1:40 PM,TVFM 207,ACT,"McKeever,Jane Alice",,,Closed
TVF,3240,01,96931,THIRD CINE/VID,R,6:00 PM,8:45 PM,TVFM 202,LEC,"Berumen,Enrique",3.00,,Open
TVF,3270,01,90751,TV HISTORY AND PROG,T,9:00 AM,10:40 AM,SH 246,LEC,,3.00,,Closed
TVF,3270,02,90752,TV HISTORY AND PROG,T,11:00 AM,12:40 PM,MUS 256,ACT,,,,Closed
TVF,3270,03,94389,TV HISTORY AND PROG,T,2:00 PM,3:40 PM,KH B3019,ACT,,,,Open
TVF,3270,04,97375,TV HISTORY AND PROG,T,9:00 AM,10:40 AM,TVFM 202,LEC,,3.00,,Open
TVF,3270,05,97376,TV HISTORY AND PROG,T,11:00 AM,12:40 PM,TVFM 202,ACT,,,,Open
TVF,3280,01,90425,FILM HISTORY,M,6:00 PM,8:45 PM,SH 184,LEC,"Hackel,Kristiina J.",3.00,,Open
TVF,3340,01,90428,RACE JUSTICE MEDIA,W,6:00 PM,8:45 PM,KH LH2,LEC,,3.00,,Open
TVF,3640,01,90429,TELEVISION SPEC WRITING,T,8:00 AM,9:40 AM,TVFM 207,LEC,"Villalobos,Ligiah",3.00,,Open
TVF,3640,02,90563,TELEVISION SPEC WRITING,T,10:00 AM,11:40 AM,TVFM 207,ACT,"Villalobos,Ligiah",,,Open
TVF,3640,03,96933,TELEVISION SPEC WRITING,M,9:00 AM,10:40 AM,KH D1043,LEC,"Villalobos,Ligiah",3.00,,Open
TVF,3640,04,96934,TELEVISION SPEC WRITING,M,11:00 AM,12:40 PM,KH D1043,ACT,"Villalobos,Ligiah",,,Open
TVF,3650,01,90729,INTERMEDIATE SCRIPT,W,6:00 PM,7:40 PM,KH C2089,LEC,"Berumen,Enrique",3.00,,Open
TVF,3650,02,90730,INTERMEDIATE SCRIPT,W,4:00 PM,5:40 PM,KH C2089,ACT,,,,Open
TVF,3830,01,90434,GENDER/SEXUALITY/POP CULTUR,M,6:00 PM,8:45 PM,KH LH2,LEC,"Horejsi,Nicole Jenine",3.00,Combine with ENGL 3830 01,Open
TVF,3970,01,90437,CINEMATOGRAPHY,M,9:00 AM,10:40 AM,TVFM 115,SEM,,3.00,,Open
TVF,3970,02,90441,CINEMATOGRAPHY,M,11:00 AM,12:40 PM,TVFM 115,ACT,,,,Open
TVF,3970,03,90443,CINEMATOGRAPHY,W,6:00 PM,7:40 PM,TVFM 115,SEM,,3.00,,Open
TVF,3970,04,90848,CINEMATOGRAPHY,W,8:00 PM,9:40 PM,TVFM 115,ACT,,,,Open
TVF,4000,01,96152,COMMUNITY IMPACT MEDIA,S,12:00 PM,1:40 PM,MUS 256,LEC,"Fipps,Heather Ann",3.00,,Open
TVF,4000,02,96706,COMMUNITY IMPACT MEDIA,S,9:00 AM,11:40 AM,MUS 256,LAB,"Fipps,Heather Ann",,,Open
TVF,4000,03,96707,COMMUNITY IMPACT MEDIA,S,2:00 PM,4:40 PM,MUS 256,LAB,"Fipps,Heather Ann",,,Open
TVF,4200,01,90451,MEDIA LAW,T,6:00 PM,8:45 PM,SH 184,LEC,"Beaupre,Jon N",3.00,,Open
TVF,4230,01,90450,GENDER & SEXUALITY IN MEDIA,M,12:00 PM,2:45 PM,MUS 256,LEC,"Regan,Suzanne E",3.00,,Closed
TVF,4300,01,90436,DOCUMENTARY FIELD PRODUCTION,R,11:00 AM,12:40 PM,MUS 219,SEM,"Bloom,Alan J",3.00,,Open
TVF,4300,02,90447,DOCUMENTARY FIELD PRODUCTION,R,9:00 AM,10:40 AM,MUS 255,ACT,"Bloom,Alan J",,,Open
TVF,4450,01,90665,"FILM FESTS, CONV, CONF",R,1:00 PM,2:40 PM,TVFM 202,LEC,"Hackel,Kristiina J.",3.00,,Closed
TVF,4450,02,90709,"FILM FESTS, CONV, CONF",R,3:00 PM,5:45 PM,TVFM 202,ACT,"Hackel,Kristiina J.",,,Closed
TVF,4540,01,94399,STUDIES IN TV FILM,W,9:00 AM,12:00 PM,Off Campus,LEC,"Murnane,Bridget Ann",3.00,"3400 W. Olive Ave., Burbank, CA 91505",Open
TVF,4540,03,97197,STUDIES IN TV FILM,M,6:00 PM,8:45 PM,KH B1007,LEC,,3.00,"Combine with COMM 4540 01 & ENGL 4540
01",Open
TVF,4600,01,90470,"THEORIES OF MASS
COMMUNICATION",W,6:00 PM,8:45 PM,SH 184,LEC,"Clarke,Michael Jordan",3.00,,Closed
TVF,4620,01,90471,CRITICISM OF FILM & TELEVISION,R,6:00 PM,8:45 PM,SH 184,LEC,"Regan,Suzanne E",3.00,,Open
TVF,4650,01,90884,ADVANCED SCREENWRITING,W,1:00 PM,3:45 PM,KH B4007,SEM,"Berumen,Enrique",3.00,,Open
TVF,4700,01,90472,MEDIA PROFESSIONS,M,4:00 PM,6:45 PM,MUS 219,LEC,,3.00,,Open
TVF,4800,01,96939,EMERGING MEDIA & TECH,R,1:00 PM,3:45 PM,KH D4043,LEC,"Clarke,Michael Jordan",3.00,Course will meet in KH D4043,Open
TVF,4801,01,96940,FILM INCUBATOR,S,9:00 AM,6:00 PM,TVFM 115,ACT,,3.00,,Open
TVF,4970,01,90618,TVF PORTFOLIO,F,9:00 AM,10:40 AM,MUS 255,SEM,"Murnane,Bridget Ann",3.00,,Open
TVF,4970,02,90619,TVF PORTFOLIO,F,11:00 AM,12:40 PM,MUS 255,ACT,"Murnane,Bridget Ann",,,Open
TVF,4970,03,90620,TVF PORTFOLIO,R,1:00 PM,2:40 PM,MUS 255,SEM,"Murnane,Bridget Ann",3.00,,Open
TVF,4970,04,90849,TVF PORTFOLIO,R,3:00 PM,4:40 PM,MUS 255,ACT,"Murnane,Bridget Ann",,,Open
TVF,4970,05,90850,TVF PORTFOLIO,S,10:00 AM,11:40 AM,MUS 255,SEM,"McKeever,Jane Alice",3.00,,Open
TVF,4970,06,90851,TVF PORTFOLIO,S,12:00 PM,1:40 PM,MUS 255,ACT,"McKeever,Jane Alice",,,Open
TVF,5010,01,96921,"RESEACH METHODS/TELECOM &
FILM",W,6:00 PM,8:45 PM,TVFM 210,SEM,"Regan,Suzanne E",3.00,,Open
TVF,5060,01,97311,TELEVISION STUDIES,R,6:00 PM,8:45 PM,TVFM 210,SEM,"Clarke,Michael Jordan",3.00,,Open
TVF,5200,01,96923,SEM:  DOCUMETARY FILM AND TV,T,6:00 PM,8:45 PM,TVFM 210,SEM,,3.00,,Open
TVFT,5121,01,90854,TV SPEC: SITCOM,M,9:00 AM,11:30 AM,TA 208,SEM,,3.00,,Open
TVFT,5141,01,97145,"MOVEMENT I: CONTEMPORARY
DANCE",TR,10:00 AM,12:30 PM,KH C5105,ACT,,2.00,,Open
TVFT,5170,01,96896,THTR PRODUCING AND MGMT,TR,1:40 PM,2:55 PM,MUS 108,SEM,"Graham,Paul S.",3.00,Combine with TA 4390 01,Open
TVFT,5222,01,90622,TV SPEC: DRAMA,T,8:00 AM,11:40 AM,TA 208,SEM,,3.00,,Open
TVFT,5227,01,97334,WRITER'S WORKSHOP: FEATURE,R,10:00 AM,12:30 PM,TVFM 210,SUP,"Meyer,Sylke Rene",3.00,,Open
TVFT,5282,01,97354,EDITING/GRAPHING/EFFECTS,M,9:00 AM,10:40 AM,TVFM 207,SEM,"Fipps,Heather Ann",3.00,,Open
TVFT,5282,02,97355,EDITING/GRAPHING/EFFECTS,M,10:40 AM,12:20 PM,TVFM 207,ACT,"Fipps,Heather Ann",,,Open
TVFT,5290,01,97336,DIRECTING: FILM/TV,T,4:30 PM,9:30 PM,TVFM 115,ACT,,3.00,,Open
TVFT,5366,01,95954,ACTING: CLASSICAL,TR,1:00 PM,3:30 PM,MUS 214,ACT,"Clare,Robert",2.00,,Open
TVFT,5530,01,94623,PITCHING WORKSHOP,M,1:00 PM,2:40 PM,TVFM 210,SEM,"Villalobos,Ligiah",2.00,,Open
TVFT,5650,01,95955,THESIS WRITING PREPARATION,M,3:30 PM,6:00 PM,MUS 118,SEM,,3.00,,Open
ULRN,2120,01,94950,"CONTEMP ISSUES IN KNOW, CUL&LR",M,7:25 PM,10:10 PM,MUS 114,LEC,,3.00,Reserved for ULRN students,Open
ULRN,3000,01,94948,SUCCESS AND PROF PREP IN ULRN,W,4:30 PM,7:15 PM,MUS 216,LEC,,2.00,Reserved for ULRN students,Open
ULRN,3000,02,96065,SUCCESS AND PROF PREP IN ULRN,M,7:25 PM,10:10 PM,KH B1008,LEC,"Arvedson,Paula J",2.00,Reserved for ULRN students,Open
ULRN,4110,01,91383,LEARNING AND CRITICAL THINKING,T,4:30 PM,7:15 PM,KH B4013,LEC,"Maloney,Kelly Joseph",3.00,Reserved for ULRN students,Open
ULRN,4130,01,91381,LITERACY & URBAN COMMUNITY,T,4:30 PM,7:15 PM,KH B1020,LEC,"Fried,Charlene E",3.00,Reserved for ULRN students,Closed
ULRN,4140,01,91382,STEM LRNG IN URBAN ENVIRON,R,4:30 PM,7:15 PM,MUS 216,LEC,"Arvedson,Paula J",3.00,Reserved for ULRN students,Closed
ULRN,4150,01,91613,ASSESSMENT AND LEARNING,W,7:25 PM,10:10 PM,MUS 114,LEC,"Staub,Joseph Neil",3.00,Reserved for ULRN students,Closed
ULRN,4150,02,91614,ASSESSMENT AND LEARNING,W,7:25 PM,10:10 PM,KH B3015,LEC,,3.00,Reserved for ULRN students,Open
ULRN,4190,01,96069,SEMINAR: URBAN SCHOOLS,R,7:25 PM,10:10 PM,KH B1008,LEC,"Larios,Rosalinda Jauregui",3.00,Reserved for ULRN students,Closed
There is a $25.00 NON-REFUNDABLE exam fee for UNIV 4000. International graduate students who graduate from universities where English is NOT the primary language of instruction and do not meet other exemption criteria must pass the UNIV 4000 or UNIV 4010 within their first 12 units. Students with disabilities necessitating special exam accommodations must request approval from the Office of Students with Disabilities. Enrollment is limited to one section per   quarter of either UNIV 4000 or UNIV 4010. For questions please contact the Testing Center at 323.343.3160.,,,,,,,,,,,,,
"EXAM DATE: SATURDAY September 07, 2019. Actual exam time is 90 minutes. Please refer to the Schedule of Classes for the ""Add Deadline.""",,,,,,,,,,,,,
UNIV,4000,01,93897,WRITING PROFICIENCY EXAM,S,8:00 AM,10:00 AM,KH B3019,SUP,"McEvoy,Suzanne Lynn",0.00,,Open
UNIV,4000,02,93898,WRITING PROFICIENCY EXAM,S,8:00 AM,10:00 AM,KH B3020,SUP,"McEvoy,Suzanne Lynn",0.00,,Open
UNIV,4000,03,93899,WRITING PROFICIENCY EXAM,S,10:30 AM,12:30 PM,KH B3019,SUP,"McEvoy,Suzanne Lynn",0.00,,Open
UNIV,4000,04,93900,WRITING PROFICIENCY EXAM,S,10:30 AM,12:30 PM,KH B3020,SUP,"McEvoy,Suzanne Lynn",0.00,,Open
UNIV,4010,01,93901,WRITING PROFICIENCY,S,9:00 AM,11:45 AM,KH C2089,LEC,"Kasimoff,Ivan W",3.00,,Open
URBA,1800,02,94118,THE URBAN WORLD,MW,3:05 PM,4:20 PM,KH D4044,LEC,,3.00,,Open
WGSS,1010,01,90180,GENDER AND SXLTY IN COLLEGE,TR,12:15 PM,1:30 PM,KH B2007,LEC,"Rodriguez,Reina Corina",3.00,,Open
WGSS,1010,02,90787,GENDER AND SXLTY IN COLLEGE,MWF,10:00 AM,10:50 AM,KH B3020,LEC,"Rodriguez,Reina Corina",3.00,,Open
WGSS,1010,03,96541,GENDER AND SXLTY IN COLLEGE,MW,1:40 PM,2:55 PM,ET A406,LEC,"Elisaldez,Renee Lemus",3.00,,Open
WGSS,2000,01,90181,INTRO TO WGSS,MWF,10:00 AM,10:50 AM,KH B4018,LEC,"Conti,Gino",3.00,,Open
WGSS,2000,02,90413,INTRO TO WGSS,TR,1:40 PM,2:55 PM,KH B4018,LEC,"Espinoza,Dionne",3.00,,Open
WGSS,2000,03,90719,INTRO TO WGSS,MW,3:05 PM,4:20 PM,MUS 111,LEC,"Conti,Gino",3.00,,Open
WGSS,2000,04,90749,INTRO TO WGSS,TR,10:50 AM,12:05 PM,KH B3017,LEC,"Rodriguez,Reina Corina",3.00,,Closed
WGSS,2000,05,90788,INTRO TO WGSS,TR,9:25 AM,10:40 AM,KH B2019,LEC,"Elisaldez,Renee Lemus",3.00,,Open
WGSS,2000,06,96545,INTRO TO WGSS,TR,3:05 PM,4:20 PM,KH B4018,LEC,"Espinoza,Dionne",3.00,,Open
WGSS,2030,01,90182,GENDER AND RACE IN THE US,MW,12:15 PM,1:30 PM,ET C256,LEC,"Rodriguez,Reina Corina",3.00,,Closed
WGSS,2030,02,90417,GENDER AND RACE IN THE US,TR,12:15 PM,1:30 PM,MUS 216,LEC,"Robertson,Kimberly Dawn",3.00,,Open
WGSS,2030,03,90418,GENDER AND RACE IN THE US,TR,9:25 AM,10:40 AM,KH D4047,LEC,"Kim,Grace",3.00,,Open
WGSS,2030,04,90789,GENDER AND RACE IN THE US,TR,10:50 AM,12:05 PM,ET A129,LEC,"Kim,Grace",3.00,,Open
WGSS,2200,01,94589,CHICANAS / LATINAS IN US,TR,8:00 AM,9:15 AM,KH B2008,LEC,"Morales,Susana",3.00,Combine with CLS 2200 01,Open
WGSS,2200,02,94590,CHICANAS / LATINAS IN US,MW,3:05 PM,4:20 PM,KH B3019,LEC,"Espinoza,Dionne",3.00,Combine with CLS 2200 02,Open
WGSS,3050,01,90583,BLACK FEMINISM AND WOMANISM,MW,1:40 PM,2:55 PM,FA 347,LEC,"Kennedy,Kidogo Aisha",3.00,Combine with PAS 3050 01,Closed
WGSS,3050,02,90584,BLACK FEMINISM AND WOMANISM,TR,10:50 AM,12:05 PM,KH C4071,LEC,"Mitchell,Staci Lynette",3.00,Combine with PAS 3050 02,Closed
WGSS,3050,03,90585,BLACK FEMINISM AND WOMANISM,TR,9:25 AM,10:40 AM,KH C4071,LEC,"Mitchell,Staci Lynette",3.00,Combine with PAS 3050 03,Open
